# 세계사 Ⅰ단원(01~14차시) 복습 게임 문제 은행
# 형식:  주제 | 문제(빈칸 ____) | 정답(여러 개는 /)
# 관리자 화면 ② 문제 추가에서 .xlsx 업로드로 등록 (이 txt는 버전 관리·백업용)


01. 문명의 형성 | 약 20~30만 년 전 아프리카에서 등장하여 세계 각지로 퍼져 나간 현생 인류를 ____(이)라고 한다. | 호모 사피엔스/사피엔스
01. 문명의 형성 | 신석기 시대 사람들은 돌을 갈아 만든 ____와/과 토기를 사용하였다. | 간석기
01. 문명의 형성 | 신석기 시대에는 자연물에 정령이 깃들어 있다고 믿는 ____ 신앙이 나타났다. | 애니미즘
01. 문명의 형성 | 신석기 시대에 인류는 ____와/과 목축을 시작하여 식량을 생산하는 단계로 접어들었다. | 농경
01. 문명의 형성 | 청동기 시대에 대규모 관개 농업을 관리하는 과정에서 ____이/가 분화되고 국가가 출현하였다. | 계급
01. 문명의 형성 | 메소포타미아·이집트·인도·중국 등 초기 문명은 모두 ____ 유역에서 발생하였다. | 큰 강/큰강
01. 문명의 형성 | 초기 문명에서 ____이/가 발명되면서 선사 시대가 끝나고 역사 시대가 시작되었다. | 문자
01. 문명의 형성 | 신석기 시대의 대표적인 거석 유적으로 영국의 ____이/가 있다. | 스톤헨지

02. 메소포타미아·이집트·지중해 문명 | 메소포타미아 문명은 티그리스강과 유프라테스강 사이의 '____' 지대에서 발생하였다. | 비옥한 초승달
02. 메소포타미아·이집트·지중해 문명 | 바빌로니아 왕국의 함무라비왕은 쐐기 문자로 ____을/를 편찬하였다. | 함무라비 법전
02. 메소포타미아·이집트·지중해 문명 | 메소포타미아인은 신에게 제사를 지내기 위해 ____(이)라는 거대한 신전을 세웠다. | 지구라트
02. 메소포타미아·이집트·지중해 문명 | 이집트에서 파라오의 무덤으로 만든 거대 건축물은 ____이다. | 피라미드
02. 메소포타미아·이집트·지중해 문명 | 이집트인은 사후 세계를 위해 시신을 ____(으)로 만들고 《사자의 서》를 제작하였다. | 미라
02. 메소포타미아·이집트·지중해 문명 | 이집트인은 나일강의 범람 시기를 예측하기 위해 ____을/를 사용하였다. | 태양력
